,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
-9222795471790223670,-2766592729910903198,4345055131254210605,-1606909838151129701,-8343581376353287618,3.4557439830244256e+16
-9216926795620865886,-2703878216681968882,-4434534460030275781,-330801551666885085,-6970201660508635241,6.23771484530649e+18
-9194572880052200111,967143806332397325,6650072898902843826,-340541651592032197,-3854488592949785912,-9.103776596534246e+18
-9192549002213406534,2429264894470039764,-4974757204495953627,-958925381525830552,3172866488852888544,8.589361101754366e+18
-9190737901804729417,8120046881003900118,2879555397105020076,1592600391233958243,8295457724580096419,1.7298925293603904e+18
-9189659052158407108,-7452761262757182727,7419040071212162906,-7534240757267992657,5949788789046720741,-8.815620240581423e+18
-9184137057748005562,-9184137057748005562,-1687864471892802710,-5622405819042018718,-5025556998520984849,-8.50859843943188e+18
-9176143510534135851,-5331421579623797776,4117174730087083056,-9002191823887486987,-4228415104574264137,4.843782008053285e+18
-9172673334835262304,-9153494109165200346,-823697973575832204,3965818599169726564,307952468886079288,-8.196748324041706e+18
-9171475473795142532,2335028422423709400,8298709454703868984,-5678159351655490918,8565115980515859979,8.637400873589298e+18
-9166778629773133902,-823697973575832204,-9153494109165200346,-2375266175756882986,-3105075547863520421,5.658615529969625e+18
-9161596996229760398,2736373711035411385,-8426084422061984285,-9092333155845304874,6206342468637502921,-1.5012776439535058e+18
-9160910454530522563,-7315032288233856709,-8615957592921855596,8690601908689146128,-3581194288660477595,2.313825045587318e+18
-9157338616628196758,-8658069499367979499,2335028422423709400,8298709454703868984,-5678159351655490918,8.56511598051586e+18
-9153494109165200346,-9153494109165200346,-823697973575832204,3965818599169726564,307952468886079288,-8.196748324041706e+18
-9152398073968262186,7511744555558105059,-5470166294767187597,-9152398073968262186,7359386552064322134,-2.8005638418403876e+18
-9147114693160126293,-43795168179752761,-8781597910014596432,8169351562924200055,-6875247493073242590,-1.447641181396994e+18
-9137036168156595470,6075137928366965854,-2976309714446243509,-2377881752614744441,-9033346036688923648,4.479576054067773e+18
-9128741757954228992,-5170198873410718233,-8025433077701076525,5314107418764884230,-907419983362132448,-5.570795524983604e+18
-9128652074338368262,201515581783532281,7578709204835512162,-8099145207792678586,-8996656559398843485,3.779639438468811e+18
-9107331682787867601,2668307045795933565,-8689461307495241608,-5522643017727334716,-4186591400427142356,-7.820640624231356e+18
-9105040345021932755,8267509427016592713,-5204755921272353160,-1033806831489252007,4372031182493802582,-2.38170164287271e+16
-9103776596534246502,967143806332397325,-340541651592032197,-3285620956704836473,4333668738649701866,4.546206336477095e+18
-9102431381393428051,-2476100034099959458,-2879657397552025078,1729892529360390310,5271205718596251417,7.778744448313925e+18
-9100490342054218852,3057455921237571253,-6546787050052580484,2435024834845042614,4677417698542178243,-5.5518766987728064e+17
-9099155556042679205,9033884391004475493,163780025692404854,4315784099325221836,1536798472239364319,-5.691008411030227e+18
-9095002324981651252,-5843518165523212471,8801504303517439478,1642787330067525131,-5414889822782394955,-4.2331779151933025e+18
